@relation OPENJPA_TRAINING_16.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
602,604,601,201.33333333333334,2,2,201.33333333333334,602,601,200.66666666666666,0,3,1,False
442,444,444,148.0,2,2,148.0,446,444,148.66666666666666,0,3,1,False
95,95,95,47.5,0,0,47.5,95,95,47.5,0,2,1,False
846,855,847,213.75,9,6,213.75,848,847,212.0,0,4,2,False
151,151,151,75.5,0,0,75.5,151,151,75.5,0,2,1,False
92,93,93,46.5,0,0,46.5,93,93,46.5,0,2,1,False
42,42,42,21.0,0,0,21.0,42,42,21.0,0,2,1,False
35,35,35,17.5,0,0,17.5,35,35,17.5,0,2,1,False
144,144,144,72.0,0,0,72.0,144,144,72.0,0,2,1,True
3729,3761,3721,537.2857142857143,32,10,537.2857142857143,3737,3721,533.8571428571429,0,7,2,True
592,592,592,296.0,0,0,296.0,592,592,296.0,0,2,1,False
93,93,93,46.5,0,0,46.5,93,93,46.5,0,2,1,False
171,171,171,85.5,0,0,85.5,171,171,85.5,0,2,1,False
58,58,58,29.0,0,0,29.0,58,58,29.0,0,2,1,False
159,159,159,79.5,0,0,79.5,159,159,79.5,0,2,1,False
310,313,309,104.33333333333333,3,3,104.33333333333333,310,309,103.33333333333333,0,3,2,False
253,253,253,126.5,0,0,126.5,253,253,126.5,0,2,1,False
115,115,115,57.5,0,0,57.5,115,115,57.5,0,2,1,False
112,112,112,56.0,0,0,56.0,112,112,56.0,0,2,1,False
189,191,151,63.666666666666664,1,1,63.666666666666664,190,151,63.333333333333336,0,3,2,False
403,403,403,201.5,0,0,201.5,403,403,201.5,0,2,1,False
39,39,39,19.5,0,0,19.5,39,39,19.5,0,2,1,False
72,76,71,25.333333333333332,4,4,25.333333333333332,72,71,24.0,0,3,2,False
912,940,900,188.0,28,16,188.0,916,900,183.2,0,5,2,True
533,539,534,134.75,6,5,134.75,535,534,133.75,0,4,2,False
166,166,166,83.0,0,0,83.0,166,166,83.0,0,2,1,True
1012,1022,1019,255.5,10,8,255.5,1026,1019,256.5,0,4,2,True
124,124,124,62.0,0,0,62.0,124,124,62.0,0,2,1,False
376,376,376,188.0,0,0,188.0,376,376,188.0,0,2,1,True
430,432,432,144.0,2,2,144.0,434,432,144.66666666666666,0,3,1,False
35,35,35,17.5,0,0,17.5,35,35,17.5,0,2,1,False
572,575,572,191.66666666666666,3,3,191.66666666666666,572,572,190.66666666666666,0,3,2,False
488,488,488,244.0,0,0,244.0,488,488,244.0,0,2,1,False
520,520,520,260.0,0,0,260.0,520,520,260.0,0,2,1,False
940,941,941,470.5,0,0,470.5,941,941,470.5,0,2,1,False
71,71,71,35.5,0,0,35.5,71,71,35.5,0,2,1,False
254,258,258,86.0,4,4,86.0,262,258,87.33333333333333,0,3,1,False
608,609,609,304.5,0,0,304.5,609,609,304.5,0,2,1,False
112,112,103,37.333333333333336,0,0,37.333333333333336,112,103,37.333333333333336,0,3,1,False
43,43,43,21.5,0,0,21.5,43,43,21.5,0,2,1,False
60,60,60,30.0,0,0,30.0,60,60,30.0,0,2,1,False
124,124,124,62.0,0,0,62.0,124,124,62.0,0,2,1,False
184,184,184,92.0,0,0,92.0,184,184,92.0,0,2,1,False
681,702,668,140.4,21,16,140.4,681,668,136.2,0,5,2,True
122,122,122,61.0,0,0,61.0,122,122,61.0,0,2,1,False
2834,2938,2795,419.7142857142857,103,47,419.7142857142857,2841,2795,405.85714285714283,0,7,2,True
33,33,33,16.5,0,0,16.5,33,33,16.5,0,2,1,False
298,298,298,149.0,0,0,149.0,298,298,149.0,0,2,1,False
76,76,76,38.0,0,0,38.0,76,76,38.0,0,2,1,False
60,60,60,60.0,0,0,60.0,60,60,60.0,0,1,1,False
193,492,237,61.5,299,219,61.5,281,219,35.125,0,8,2,True
68,150,70,21.428571428571427,82,65,21.428571428571427,72,65,10.285714285714286,0,7,2,False
138,274,139,54.8,136,127,54.8,140,127,28.0,0,5,1,False
518,1099,535,157.0,581,507,157.0,552,507,78.85714285714286,0,7,3,False
87,178,89,29.666666666666668,91,82,29.666666666666668,93,82,15.5,0,6,2,False
88,191,99,27.285714285714285,103,86,27.285714285714285,110,86,15.714285714285714,0,7,2,False
71,191,91,31.833333333333332,120,82,31.833333333333332,111,82,18.5,0,6,1,True
91,187,47,20.77777777777778,96,42,20.77777777777778,111,43,12.333333333333334,0,9,2,False
139,289,139,72.25,150,136,72.25,139,136,34.75,0,4,1,False
157,314,157,78.5,157,149,78.5,157,149,39.25,0,4,1,False
1364,2771,1336,307.8888888888889,1407,1324,307.8888888888889,1380,1324,153.33333333333334,0,9,3,True
1433,2956,1427,211.14285714285714,1523,1352,211.14285714285714,1483,1352,105.92857142857143,0,14,3,True
140,217,97,31.0,77,58,31.0,142,58,20.285714285714285,0,7,2,False
63,140,68,28.0,77,68,28.0,73,65,14.6,0,5,2,False
127,286,134,28.6,158,123,28.6,168,123,16.8,0,10,2,False
139,276,139,55.2,137,132,55.2,139,132,27.8,0,5,1,False
46,90,46,22.5,44,41,22.5,46,41,11.5,0,4,1,False
439,849,430,141.5,410,403,141.5,441,403,73.5,0,6,2,False
319,644,322,80.5,325,307,80.5,325,307,40.625,0,8,2,False
55,111,57,18.5,56,50,18.5,59,50,9.833333333333334,0,6,1,False
150,298,140,59.6,148,140,59.6,150,136,30.0,0,5,2,False
137,274,137,54.8,137,133,54.8,137,133,27.4,0,5,2,False
258,544,258,108.8,286,242,108.8,282,242,56.4,0,5,2,False
74,158,74,39.5,84,74,39.5,74,71,18.5,0,4,1,False
87,170,87,42.5,83,81,42.5,87,81,21.75,0,4,1,False
32,61,32,15.25,29,28,15.25,32,28,8.0,0,4,1,False
232,452,232,113.0,220,216,113.0,232,216,58.0,0,4,1,False
145,284,145,71.0,139,137,71.0,145,137,36.25,0,4,1,False
242,490,248,70.0,248,226,70.0,254,226,36.285714285714285,0,7,2,False
592,1213,618,121.3,620,563,121.3,643,563,64.3,0,10,4,True
333,689,335,114.83333333333333,356,307,114.83333333333333,377,307,62.833333333333336,0,6,2,False
216,458,229,91.6,242,211,91.6,242,211,48.4,0,5,1,False
62,128,62,32.0,66,58,32.0,62,58,15.5,0,4,1,False
30,59,30,14.75,29,27,14.75,30,27,7.5,0,4,1,False
135,290,138,58.0,155,130,58.0,143,130,28.6,0,5,1,False
672,1354,682,169.25,682,644,169.25,700,644,87.5,0,8,2,True
465,901,465,180.2,436,432,180.2,465,432,93.0,0,5,2,False
64,125,64,31.25,61,58,31.25,64,58,16.0,0,4,1,False
49,99,49,24.75,50,45,24.75,49,45,12.25,0,4,1,False
30,59,30,14.75,29,27,14.75,30,27,7.5,0,4,1,False
173,354,178,70.8,181,160,70.8,183,160,36.6,0,5,1,True
