VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,IS_BUGGY
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,74,37,0.0,0,0,0.0,74,37,18.5,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,80,38,1.0,4,2,1.0,76,38,9.5,0,4,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,80,39,0.5,2,1,0.5,78,39,9.75,0,4,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,214,95,2.75,22,5,2.75,192,95,12.0,0,8,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,182,87,1.0,6,2,1.0,176,87,14.666666666666666,0,6,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,71,156,70,1.75,14,3,1.75,142,70,8.875,0,8,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,114,246,113,2.25,18,4,2.25,228,113,14.25,0,8,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,336,828,329,13.0,156,35,13.0,672,329,28.0,0,12,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,186,83,2.25,18,5,2.25,168,83,10.5,0,8,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,58,126,58,1.6666666666666667,10,3,1.6666666666666667,116,58,9.666666666666666,0,6,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,123,260,122,1.75,14,4,1.75,246,122,15.375,0,8,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,369,738,369,0.0,0,0,0.0,738,369,184.5,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,486,224,2.4,24,6,2.4,462,224,23.1,0,10,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,586,1290,585,14.75,118,48,14.75,1172,585,73.25,0,8,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,366,780,365,4.8,48,14,4.8,732,365,36.6,0,10,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,99,216,98,2.25,18,4,2.25,198,98,12.375,0,8,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,41,82,41,0.0,0,0,0.0,82,41,20.5,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,158,65,6.5,26,13,6.5,132,65,16.5,0,4,False
0,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,54,110,45,0.3333333333333333,2,1,0.3333333333333333,108,45,9.0,0,6,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,47,102,47,2.0,8,4,2.0,94,47,11.75,0,4,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,183,406,185,5.0,40,16,5.0,374,185,23.375,0,8,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,98,49,0.0,0,0,0.0,98,49,24.5,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,100,50,0.0,0,0,0.0,100,50,25.0,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,98,200,97,1.0,4,2,1.0,196,97,24.5,0,4,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,138,276,138,0.0,0,0,0.0,276,138,69.0,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,43,86,43,0.0,0,0,0.0,86,43,21.5,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,42,84,42,0.0,0,0,0.0,84,42,21.0,0,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,56,112,56,0.0,0,0,0.0,112,56,28.0,0,2,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,326,162,0.5,2,1,0.5,324,162,40.5,0,4,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6367,24444,6127,2927.5,11710,5855,2927.5,12734,6095,1591.75,0,4,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,153,310,153,1.0,4,2,1.0,306,153,38.25,0,4,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,43,86,43,0.0,0,0,0.0,86,43,21.5,0,2,False
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41,84,41,0.5,2,1,0.5,82,41,10.25,0,4,False
